id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1205,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49336,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,163,9,3459,1.64545E+12,1.64545E+12,163,5,1469,1.64545E+12,1.64545E+12,34,4,1990,26,384.3333333,525.0597585,1250,33,293.8,534.97542,1250,26,497.5,568.1839491,1250,0,20.375,34.8135339,103,1,40.75,49.43935679,103,0,11.33333333,10.59874206,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,www.google.com,e7f9a26059817d896d3f408880da27fe,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
1206,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,63553,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,148,9,3460,1.64545E+12,1.64545E+12,148,5,1470,1.64545E+12,1.64545E+12,35,4,1990,26,384.4444444,524.9862168,1250,33,294,534.8733495,1250,26,497.5,568.1839491,1250,0,18.5,29.14005589,87,0,37,41.71330723,88,6,11.66666667,6.027713773,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1211,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,55439,216.58.211.2,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,107,16,5479,1.64545E+12,1.64545E+12,90,8,3058,1.64545E+12,1.64545E+12,51,8,2421,25,342.4375,478.4441408,1250,33,382.25,541.6629817,1250,25,302.625,439.8830811,1250,0,7.133333333,14.56937427,55,0,12.85714286,20.20254581,55,0,7.285714286,7.867957925,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1212,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54482,172.217.21.170,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,160,16,5057,1.64545E+12,1.64545E+12,130,8,2128,1.64545E+12,1.64545E+12,112,8,2929,25,316.0625,434.6197524,1250,33,266,440.2486311,1250,25,366.125,453.0189014,1250,0,10.66666667,14.96981089,47,0,18.57142857,19.36368717,47,0,16,20.23198787,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1235,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3406,35.209.92.19,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,1382962,237,26854,1.64545E+12,1.64545E+12,1382962,126,13531,1.64545E+12,1.64545E+12,1382794,111,13323,0,113.3080169,253.1352432,1430,0,107.3888889,233.7817776,1223,0,120.027027,274.3771942,1430,0,5860.008475,14346.95115,45002,0,11063.696,18346.4847,45589,0,12570.85455,19435.634,62072,2,0,0,0,236,110,0,2,1,0,0,0,125,78,0,1,1,0,0,0,111,32,0,1,TLS.Google,Web,720P_30FPS_VoD,0,beacons.gcp.gvt2.com,598872011444709307b861ae817a4b60,eb1d94daa7e0344597e756a1fb6e7054,,
1236,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,63059,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,7882,59,19569,1.64545E+12,1.64545E+12,7780,27,11312,1.64545E+12,1.64545E+12,7830,32,8257,23,331.6779661,459.6759143,1250,33,418.962963,484.1021413,1250,23,258.03125,431.9131846,1232,0,135.8965517,571.9547795,4008,0,299.2307692,851.6826314,4061,0,252.5806452,805.2539051,4110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Facebook,SocialNetwork,720P_30FPS_VoD,0,,,,,
1238,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3416,150.242.122.31,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,15003,5,0,1.64545E+12,1.64545E+12,15003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,3750.75,3096.422815,8002,1000,3750.75,3096.422815,8002,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
1250,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,65024,216.58.211.14,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,240,16,4746,1.64545E+12,1.64545E+12,204,8,2375,1.64545E+12,1.64545E+12,179,8,2371,25,296.625,441.4652685,1250,33,296.875,474.2300338,1250,25,296.375,439.0108809,1250,0,16,23.57359297,74,0,29.14285714,30.74317578,75,0,25.57142857,30.79965986,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1256,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,61244,216.58.211.14,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,44361,73,11483,1.64545E+12,1.64545E+12,44330,35,7842,1.64545E+12,1.64545E+12,44273,38,3641,25,157.3013699,283.3737562,1250,33,224.0571429,329.2886221,1250,25,95.81578947,220.2802705,1250,0,616.125,2503.880323,13370,0,1303.823529,3560.907541,13370,0,1196.567568,3452.82952,13465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1259,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,62222,142.250.74.132,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,182,9,3462,1.64545E+12,1.64545E+12,182,5,1472,1.64545E+12,1.64545E+12,83,4,1990,26,384.6666667,524.8397374,1250,33,294.4,534.6702722,1250,26,497.5,568.1839491,1250,0,22.75,28.54445155,72,1,45.5,49.96331988,102,7,27.66666667,29.14332399,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1264,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,58262,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,124,16,4849,1.64545E+12,1.64545E+12,93,8,2356,1.64545E+12,1.64545E+12,72,8,2493,25,303.0625,437.7643915,1250,33,294.5,470.7401467,1250,25,311.625,434.6127792,1250,0,8.266666667,15.49869426,51,0,13.28571429,19.55091034,52,0,10.28571429,16.68047047,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1284,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54600,172.217.21.164,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,214,9,3464,1.64545E+12,1.64545E+12,214,5,1474,1.64545E+12,1.64545E+12,40,4,1990,26,384.8888889,524.6940643,1250,33,294.8,534.4686146,1250,26,497.5,568.1839491,1250,0,26.75,51.23823907,148,0,53.5,70.6564458,149,0,13.33333333,22.23360819,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1290,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,53030,216.58.207.232,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,9954,35,9505,1.64545E+12,1.64545E+12,9954,18,6462,1.64545E+12,1.64545E+12,9901,17,3043,25,271.5714286,369.7702216,1250,33,359,395.7777154,1250,25,179,326.216186,1250,0,292.7647059,1637.660509,9560,0,585.5294118,2312.913858,9560,0,618.8125,2434.505459,9748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1292,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,52815,142.250.74.110,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,11349,29,9177,1.64545E+12,1.64545E+12,11298,14,5338,1.64545E+12,1.64545E+12,11294,15,3839,25,316.4482759,461.1551944,1250,33,381.2857143,527.1536674,1250,25,255.9333333,398.9474485,1250,0,405.3214286,2065.884495,10946,0,869.0769231,3038.101448,10980,0,806.7142857,2937.654963,11013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1293,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3558,216.58.211.3,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,240204,43,7149,1.64545E+12,1.64545E+12,240204,19,1045,1.64545E+12,1.64545E+12,240172,24,6104,0,166.255814,398.395717,1430,0,55,127.5325666,517,0,254.3333333,508.7101906,1430,0,5719.142857,14790.74691,45001,0,13344.66667,20518.55289,45046,0,10442.26087,18893.84982,45046,2,0,0,0,42,15,0,2,1,0,0,0,18,7,0,1,1,0,0,0,24,8,0,1,TLS.Google,Web,720P_30FPS_VoD,0,beacons5.gvt3.com,cd08e31494f9531f560d64c695473da9,eb1d94daa7e0344597e756a1fb6e7054,,
1294,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,56059,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,81541,85,26879,1.64545E+12,1.64545E+12,81485,41,16917,1.64545E+12,1.64545E+12,81447,44,9962,23,316.2235294,450.1826713,1250,33,412.6097561,491.890073,1250,23,226.4090909,392.0650348,1232,0,970.7261905,4074.537887,25740,0,2037.125,5772.774271,25792,0,1894.116279,5590.437887,25794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Facebook,SocialNetwork,720P_30FPS_VoD,0,,,,,
1295,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49469,142.250.74.110,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,181154,161,41577,1.64545E+12,1.64545E+12,181076,75,28021,1.64545E+12,1.64545E+12,181103,86,13556,25,258.242236,398.9811834,1250,33,373.6133333,502.5992948,1250,25,157.627907,240.2945274,1250,0,1132.2125,4155.70037,24486,0,2446.972973,5884.340845,24544,0,2130.623529,5554.681301,24532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1300,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,57133,172.217.27.195,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,1433,29,10580,1.64545E+12,1.64545E+12,1114,14,3870,1.64545E+12,1.64545E+12,1048,15,6710,25,364.8275862,495.9638573,1250,33,276.4285714,432.054967,1250,25,447.3333333,550.921652,1250,0,51.17857143,79.25488819,267,0,85.69230769,93.8885728,270,0,74.85714286,85.01842076,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1311,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,58238,216.58.207.232,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,32022,54,16114,1.64545E+12,1.64545E+12,31990,31,12436,1.64545E+12,1.64545E+12,31882,23,3678,25,298.4074074,357.0785823,1250,33,401.1612903,370.9757491,1250,25,159.9130435,290.8151417,1250,0,604.1886792,3349.099403,23021,0,1066.333333,4434.898376,23062,0,1449.181818,5161.120741,23062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1312,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3181,20.199.120.85,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,125,3,272,1.64545E+12,1.64545E+12,125,2,101,1.64545E+12,1.64545E+12,0,1,171,0,90.66666667,85.96704795,171,0,50.5,71.4177849,101,171,171,0,171,40,62.5,31.81980515,85,125,125,0,125,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS.Azure,Cloud,720P_30FPS_VoD,1,,,,,
1313,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3257,157.240.194.18,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,851232,316,5780,1.64545E+12,1.64545E+12,851232,191,2980,1.64545E+12,1.64545E+12,851124,125,2800,0,18.29113924,14.7121821,36,0,15.60209424,16.06070051,36,0,22.4,11.2450706,28,0,2702.32381,4362.424147,10041,15,4480.168421,4860.099834,10041,0,6863.903226,4685.927921,10769,0,0,0,0,316,193,0,0,0,0,0,0,191,93,0,0,0,0,0,0,125,100,0,0,TLS.Facebook,SocialNetwork,720P_30FPS_VoD,1,,,,,
1315,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,56045,142.250.74.106,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,123,14,4937,1.64545E+12,1.64545E+12,111,7,2322,1.64545E+12,1.64545E+12,61,7,2615,25,352.6428571,451.3672575,1250,33,331.7142857,495.5689371,1250,25,373.5714286,441.3724267,1250,0,9.461538462,17.04217995,61,0,18.5,24.32077301,62,0,10.16666667,9.108603991,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1319,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3869,3.224.105.240,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,7749,5,0,1.64545E+12,1.64545E+12,0,1,0,1.64545E+12,1.64545E+12,7596,4,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1937.25,1757.882509,4176,0,0,0,0,1013,2532,1585.200618,4176,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
1334,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,53755,142.250.74.142,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,46624,56,15869,1.64545E+12,1.64545E+12,46618,26,10252,1.64545E+12,1.64545E+12,46566,30,5617,25,283.375,427.430401,1250,33,394.3076923,516.8155392,1250,25,187.2333333,309.2599268,1250,0,847.7090909,3511.827854,17057,0,1864.72,5097.674147,17118,0,1605.724138,4775.974567,17180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1337,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3946,163.171.132.119,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,10508,14,0,1.64545E+12,1.64545E+12,0,1,0,1.64545E+12,1.64545E+12,10362,13,0,0,0,0,0,0,0,0,0,0,0,0,0,146,808.3076923,340.3060839,1148,0,0,0,0,159,863.5,288.3326677,1148,14,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
1341,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64687,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,167,16,4885,1.64545E+12,1.64545E+12,101,8,2359,1.64545E+12,1.64545E+12,108,8,2526,25,305.3125,436.6354267,1250,33,294.875,470.5435876,1250,25,315.75,432.2921466,1250,0,11.13333333,21.556791,66,0,14.42857143,22.09718793,58,0,15.42857143,24.40530778,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
1351,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,62869,142.250.74.100,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,123,9,3464,1.64545E+12,1.64545E+12,123,5,1474,1.64545E+12,1.64545E+12,38,4,1990,26,384.8888889,524.6940643,1250,33,294.8,534.4686146,1250,26,497.5,568.1839491,1250,0,15.375,20.12771721,58,1,30.75,34.41293362,63,0,12.66666667,11.01514109,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
